title,code,vorname,name,regionalverband,status
Vorname75 Nachname75,CODE075,Vorname75,Nachname75,Oberhavel,1
Vorname76 Nachname76,CODE076,Vorname76,Nachname76,OPR,1
Vorname77 Nachname77,CODE077,Vorname77,Nachname77,Oberhavel,1
Vorname78 Nachname78,CODE078,Vorname78,Nachname78,OPR,1
Vorname79 Nachname79,CODE079,Vorname79,Nachname79,Oberhavel,1
Vorname80 Nachname80,CODE080,Vorname80,Nachname80,Oberhavel,1
Vorname81 Nachname81,CODE081,Vorname81,Nachname81,BRB,1
Vorname82 Nachname82,CODE082,Vorname82,Nachname82,MOL,1
Vorname83 Nachname83,CODE083,Vorname83,Nachname83,Berlin,1
Vorname84 Nachname84,CODE084,Vorname84,Nachname84,OPR,1
Vorname85 Nachname85,CODE085,Vorname85,Nachname85,HRO,1
Vorname86 Nachname86,CODE086,Vorname86,Nachname86,Oberhavel,1
Vorname87 Nachname87,CODE087,Vorname87,Nachname87,BRB,1
Vorname88 Nachname88,CODE088,Vorname88,Nachname88,MOL,1
Vorname89 Nachname89,CODE089,Vorname89,Nachname89,Barnim,1
Vorname90 Nachname90,CODE090,Vorname90,Nachname90,BRB,1
Vorname91 Nachname91,CODE091,Vorname91,Nachname91,BRB,1
Vorname92 Nachname92,CODE092,Vorname92,Nachname92,MOL,1
Vorname93 Nachname93,CODE093,Vorname93,Nachname93,OPR,1
Vorname94 Nachname94,CODE094,Vorname94,Nachname94,HRO,1
Vorname95 Nachname95,CODE095,Vorname95,Nachname95,Berlin,1
Vorname96 Nachname96,CODE096,Vorname96,Nachname96,BRB,1
Vorname97 Nachname97,CODE097,Vorname97,Nachname97,Berlin,1
Vorname98 Nachname98,CODE098,Vorname98,Nachname98,Berlin,1
Vorname99 Nachname99,CODE099,Vorname99,Nachname99,Oberhavel,1
Vorname100 Nachname100,CODE100,Vorname100,Nachname100,BRB,1
Vorname101 Nachname101,CODE101,Vorname101,Nachname101,OPR,1
Vorname102 Nachname102,CODE102,Vorname102,Nachname102,Barnim,1
Vorname103 Nachname103,CODE103,Vorname103,Nachname103,Barnim,1
Vorname104 Nachname104,CODE104,Vorname104,Nachname104,Barnim,1
Vorname105 Nachname105,CODE105,Vorname105,Nachname105,BRB,1
Vorname106 Nachname106,CODE106,Vorname106,Nachname106,Oberhavel,1
Vorname107 Nachname107,CODE107,Vorname107,Nachname107,BRB,1
Vorname108 Nachname108,CODE108,Vorname108,Nachname108,Berlin,1
Vorname109 Nachname109,CODE109,Vorname109,Nachname109,MOL,1
Vorname110 Nachname110,CODE110,Vorname110,Nachname110,OPR,1
Vorname111 Nachname111,CODE111,Vorname111,Nachname111,MOL,1
Vorname112 Nachname112,CODE112,Vorname112,Nachname112,Oberhavel,1
Vorname113 Nachname113,CODE113,Vorname113,Nachname113,MOL,1
Vorname114 Nachname114,CODE114,Vorname114,Nachname114,HRO,1
Vorname115 Nachname115,CODE115,Vorname115,Nachname115,OPR,1
Vorname116 Nachname116,CODE116,Vorname116,Nachname116,Berlin,1
Vorname117 Nachname117,CODE117,Vorname117,Nachname117,Oberhavel,1
Vorname118 Nachname118,CODE118,Vorname118,Nachname118,Oberhavel,1
Vorname119 Nachname119,CODE119,Vorname119,Nachname119,HRO,1
Vorname120 Nachname120,CODE120,Vorname120,Nachname120,MOL,1
Vorname121 Nachname121,CODE121,Vorname121,Nachname121,BRB,1
Vorname122 Nachname122,CODE122,Vorname122,Nachname122,Barnim,1
Vorname123 Nachname123,CODE123,Vorname123,Nachname123,OPR,1
Vorname124 Nachname124,CODE124,Vorname124,Nachname124,BRB,1
Vorname125 Nachname125,CODE125,Vorname125,Nachname125,Barnim,1
Vorname126 Nachname126,CODE126,Vorname126,Nachname126,Oberhavel,1
Vorname127 Nachname127,CODE127,Vorname127,Nachname127,Berlin,1
Vorname128 Nachname128,CODE128,Vorname128,Nachname128,HRO,1
Vorname129 Nachname129,CODE129,Vorname129,Nachname129,OPR,1
Vorname130 Nachname130,CODE130,Vorname130,Nachname130,OPR,1
Vorname131 Nachname131,CODE131,Vorname131,Nachname131,OPR,1
Vorname132 Nachname132,CODE132,Vorname132,Nachname132,HRO,1
Vorname133 Nachname133,CODE133,Vorname133,Nachname133,BRB,1
Vorname134 Nachname134,CODE134,Vorname134,Nachname134,HRO,1
Vorname135 Nachname135,CODE135,Vorname135,Nachname135,BRB,1
Vorname136 Nachname136,CODE136,Vorname136,Nachname136,Oberhavel,1
Vorname137 Nachname137,CODE137,Vorname137,Nachname137,Oberhavel,1
Vorname138 Nachname138,CODE138,Vorname138,Nachname138,HRO,1
Vorname139 Nachname139,CODE139,Vorname139,Nachname139,HRO,1
Vorname140 Nachname140,CODE140,Vorname140,Nachname140,Barnim,1
Vorname141 Nachname141,CODE141,Vorname141,Nachname141,HRO,1
Vorname142 Nachname142,CODE142,Vorname142,Nachname142,MOL,1
Vorname143 Nachname143,CODE143,Vorname143,Nachname143,BRB,1
Vorname144 Nachname144,CODE144,Vorname144,Nachname144,Oberhavel,1
Vorname145 Nachname145,CODE145,Vorname145,Nachname145,HRO,1
Vorname146 Nachname146,CODE146,Vorname146,Nachname146,Oberhavel,1
Vorname147 Nachname147,CODE147,Vorname147,Nachname147,Berlin,1
Vorname148 Nachname148,CODE148,Vorname148,Nachname148,MOL,1
Vorname149 Nachname149,CODE149,Vorname149,Nachname149,OPR,1
Vorname150 Nachname150,CODE150,Vorname150,Nachname150,OPR,1
Vorname151 Nachname151,CODE151,Vorname151,Nachname151,BRB,1
Vorname152 Nachname152,CODE152,Vorname152,Nachname152,OPR,1
Vorname153 Nachname153,CODE153,Vorname153,Nachname153,Oberhavel,1
Vorname154 Nachname154,CODE154,Vorname154,Nachname154,BRB,1
Vorname155 Nachname155,CODE155,Vorname155,Nachname155,Barnim,1
Vorname156 Nachname156,CODE156,Vorname156,Nachname156,Oberhavel,1
Vorname157 Nachname157,CODE157,Vorname157,Nachname157,HRO,1
Vorname158 Nachname158,CODE158,Vorname158,Nachname158,MOL,1
Vorname159 Nachname159,CODE159,Vorname159,Nachname159,Oberhavel,1
Vorname160 Nachname160,CODE160,Vorname160,Nachname160,OPR,1
Vorname161 Nachname161,CODE161,Vorname161,Nachname161,BRB,1
Vorname162 Nachname162,CODE162,Vorname162,Nachname162,Berlin,1
Vorname163 Nachname163,CODE163,Vorname163,Nachname163,HRO,1
Vorname164 Nachname164,CODE164,Vorname164,Nachname164,Barnim,1
Vorname165 Nachname165,CODE165,Vorname165,Nachname165,OPR,1
Vorname166 Nachname166,CODE166,Vorname166,Nachname166,Barnim,1
Vorname167 Nachname167,CODE167,Vorname167,Nachname167,MOL,1
Vorname168 Nachname168,CODE168,Vorname168,Nachname168,MOL,1
Vorname169 Nachname169,CODE169,Vorname169,Nachname169,Oberhavel,1
Vorname170 Nachname170,CODE170,Vorname170,Nachname170,Oberhavel,1
Vorname171 Nachname171,CODE171,Vorname171,Nachname171,Barnim,1
Vorname172 Nachname172,CODE172,Vorname172,Nachname172,BRB,1
Vorname173 Nachname173,CODE173,Vorname173,Nachname173,HRO,1
Vorname174 Nachname174,CODE174,Vorname174,Nachname174,Oberhavel,1
Vorname175 Nachname175,CODE175,Vorname175,Nachname175,MOL,1
Vorname176 Nachname176,CODE176,Vorname176,Nachname176,BRB,1
Vorname177 Nachname177,CODE177,Vorname177,Nachname177,MOL,1
Vorname178 Nachname178,CODE178,Vorname178,Nachname178,HRO,1
Vorname179 Nachname179,CODE179,Vorname179,Nachname179,BRB,1
Vorname180 Nachname180,CODE180,Vorname180,Nachname180,BRB,1
Vorname181 Nachname181,CODE181,Vorname181,Nachname181,OPR,1
Vorname182 Nachname182,CODE182,Vorname182,Nachname182,BRB,1
Vorname183 Nachname183,CODE183,Vorname183,Nachname183,MOL,1
Vorname184 Nachname184,CODE184,Vorname184,Nachname184,Berlin,1
Vorname185 Nachname185,CODE185,Vorname185,Nachname185,Oberhavel,1
Vorname186 Nachname186,CODE186,Vorname186,Nachname186,HRO,1
Vorname187 Nachname187,CODE187,Vorname187,Nachname187,HRO,1
Vorname188 Nachname188,CODE188,Vorname188,Nachname188,BRB,1
Vorname189 Nachname189,CODE189,Vorname189,Nachname189,MOL,1
Vorname190 Nachname190,CODE190,Vorname190,Nachname190,Oberhavel,1
Vorname191 Nachname191,CODE191,Vorname191,Nachname191,Berlin,1
Vorname192 Nachname192,CODE192,Vorname192,Nachname192,MOL,1
Vorname193 Nachname193,CODE193,Vorname193,Nachname193,Berlin,1
Vorname194 Nachname194,CODE194,Vorname194,Nachname194,HRO,1
Vorname195 Nachname195,CODE195,Vorname195,Nachname195,Oberhavel,1
Vorname196 Nachname196,CODE196,Vorname196,Nachname196,OPR,1
Vorname197 Nachname197,CODE197,Vorname197,Nachname197,MOL,1
Vorname198 Nachname198,CODE198,Vorname198,Nachname198,MOL,1
Vorname199 Nachname199,CODE199,Vorname199,Nachname199,Oberhavel,1
Vorname200 Nachname200,CODE200,Vorname200,Nachname200,MOL,1
Vorname201 Nachname201,CODE201,Vorname201,Nachname201,Barnim,1
Vorname202 Nachname202,CODE202,Vorname202,Nachname202,Oberhavel,1
Vorname203 Nachname203,CODE203,Vorname203,Nachname203,BRB,1
Vorname204 Nachname204,CODE204,Vorname204,Nachname204,BRB,1
Vorname205 Nachname205,CODE205,Vorname205,Nachname205,HRO,1
Vorname206 Nachname206,CODE206,Vorname206,Nachname206,HRO,1
Vorname207 Nachname207,CODE207,Vorname207,Nachname207,OPR,1
Vorname208 Nachname208,CODE208,Vorname208,Nachname208,Berlin,1
Vorname209 Nachname209,CODE209,Vorname209,Nachname209,Barnim,1
Vorname210 Nachname210,CODE210,Vorname210,Nachname210,BRB,1
Vorname211 Nachname211,CODE211,Vorname211,Nachname211,Barnim,1
Vorname212 Nachname212,CODE212,Vorname212,Nachname212,Barnim,1
Vorname213 Nachname213,CODE213,Vorname213,Nachname213,Barnim,1
Vorname214 Nachname214,CODE214,Vorname214,Nachname214,HRO,1
Vorname215 Nachname215,CODE215,Vorname215,Nachname215,Oberhavel,1
Vorname216 Nachname216,CODE216,Vorname216,Nachname216,MOL,1
Vorname217 Nachname217,CODE217,Vorname217,Nachname217,Barnim,1
Vorname218 Nachname218,CODE218,Vorname218,Nachname218,Berlin,1
Vorname219 Nachname219,CODE219,Vorname219,Nachname219,Oberhavel,1
Vorname220 Nachname220,CODE220,Vorname220,Nachname220,Berlin,1
Vorname221 Nachname221,CODE221,Vorname221,Nachname221,BRB,1
Vorname222 Nachname222,CODE222,Vorname222,Nachname222,MOL,1
Vorname223 Nachname223,CODE223,Vorname223,Nachname223,HRO,1
Vorname224 Nachname224,CODE224,Vorname224,Nachname224,HRO,1
Vorname225 Nachname225,CODE225,Vorname225,Nachname225,OPR,1
Vorname226 Nachname226,CODE226,Vorname226,Nachname226,MOL,1
Vorname227 Nachname227,CODE227,Vorname227,Nachname227,HRO,1
Vorname228 Nachname228,CODE228,Vorname228,Nachname228,Oberhavel,1
Vorname229 Nachname229,CODE229,Vorname229,Nachname229,Berlin,1
Vorname230 Nachname230,CODE230,Vorname230,Nachname230,OPR,1
Vorname231 Nachname231,CODE231,Vorname231,Nachname231,BRB,1
Vorname232 Nachname232,CODE232,Vorname232,Nachname232,Berlin,1
Vorname233 Nachname233,CODE233,Vorname233,Nachname233,Barnim,1
Vorname234 Nachname234,CODE234,Vorname234,Nachname234,Oberhavel,1
Vorname235 Nachname235,CODE235,Vorname235,Nachname235,Barnim,1
Vorname236 Nachname236,CODE236,Vorname236,Nachname236,BRB,1
Vorname237 Nachname237,CODE237,Vorname237,Nachname237,MOL,1
Vorname238 Nachname238,CODE238,Vorname238,Nachname238,Oberhavel,1
Vorname239 Nachname239,CODE239,Vorname239,Nachname239,Barnim,1
Vorname240 Nachname240,CODE240,Vorname240,Nachname240,Oberhavel,1
Vorname241 Nachname241,CODE241,Vorname241,Nachname241,Oberhavel,1
Vorname242 Nachname242,CODE242,Vorname242,Nachname242,OPR,1
Vorname243 Nachname243,CODE243,Vorname243,Nachname243,Barnim,1
Vorname244 Nachname244,CODE244,Vorname244,Nachname244,Barnim,1
Vorname245 Nachname245,CODE245,Vorname245,Nachname245,MOL,1
Vorname246 Nachname246,CODE246,Vorname246,Nachname246,BRB,1
Vorname247 Nachname247,CODE247,Vorname247,Nachname247,OPR,1
Vorname248 Nachname248,CODE248,Vorname248,Nachname248,MOL,1
Vorname249 Nachname249,CODE249,Vorname249,Nachname249,HRO,1
Vorname250 Nachname250,CODE250,Vorname250,Nachname250,BRB,1
